,semestre_1,district_id,banda_larga_1,nro_medicoes_1,medicoes_ipv6_1,medicoes_ipv4_1,mediana_download_1,mediana_upload_1,mediana_latencia_1,mediana_perdapacotes_1,mediana_jitterdown_1,mediana_jitterup_1,semestre_2,banda_larga_2,nro_medicoes_2,medicoes_ipv6_2,medicoes_ipv4_2,mediana_download_2,mediana_upload_2,mediana_latencia_2,mediana_perdapacotes_2,mediana_jitterdown_2,mediana_jitterup_2,media_download,media_upload,media_latencia,media_perdapacotes,media_jitterdown,media_jitterup
64,2021_1,76,movel,59,23,36,24.9850063323975,25.0214395523071,8.53025019168854,0,0.438750006258488,2.03000003099442,2021_2,movel,75,37,38,44.4818515777588,47.301887512207,9.03849983215332,1.5,0.619749993085861,0.427249997854233,34.7334289550781,36.1616635322571,8.78437501192093,0.75,0.529249999672174,1.22862501442432
65,2021_1,77,movel,7,5,2,94.1547508239746,26.191424369812,20.245500087738,0,0.795249976217747,1.57450005412102,2021_2,movel,34,4,30,52.6646385192871,35.7342720031738,16.4479999542236,0,0.633000016212463,0.792999982833862,73.4096946716309,30.9628481864929,18.3467500209808,0,0.714124996215105,1.18375001847744
66,2021_1,78,movel,1,0,1,0.556032001972199,4.61043214797974,61.6920013427734,0,16.2840003967285,1.78600001335144,2021_2,movel,2,0,2,22.6727771759033,6.58476823568344,85.1024990081787,0,0.861499965190887,1.12849998474121,11.6144045889378,5.59760019183159,73.3972501754761,0,8.5727501809597,1.45724999904633
67,2021_1,79,movel,2,2,0,,,14.5564999580383,0,0.682500004768372,1.91299992799759,2021_2,movel,30,30,0,140.949310302734,24.0589447021484,13.9670000076294,0,0.446000009775162,1.33599996566772,70.4746551513672,12.0294723510742,14.2617499828339,0,0.564250007271767,1.62449994683266
68,2021_1,81,movel,5,1,4,32.8675737380981,41.857536315918,9.6085000038147,0,0.241499990224838,4.0864999294281,2021_2,movel,23,22,1,35.8509578704834,101.694717407227,12.6899995803833,0,0.861999988555908,3.0974999666214,34.3592658042908,71.7761268615723,11.149249792099,0,0.551749989390373,3.59199994802475
69,2021_1,82,movel,26,16,10,29.1864215135574,34.3488006591797,17.9209995269775,0,0.480000004172325,3.96700000762939,2021_2,movel,39,13,26,42.7242088317871,17.5872485637665,19.458000421524,0,1.01500001549721,1.57825002074242,35.9553151726723,25.9680246114731,18.6894999742508,0,0.747500009834766,2.77262501418591
70,2021_1,83,movel,19,2,17,33.6551055908203,19.7863674163818,6.03599977493286,0,0.968000024557114,1.10500001907349,2021_2,movel,30,12,18,30.69455909729,22.6880645751953,9.59500026702881,0,0.855499982833862,1.94599997997284,32.1748323440552,21.2372159957886,7.81550002098084,0,0.911750003695488,1.52549999952316
71,2021_1,84,movel,5,2,3,33.4868965148926,27.8893437385559,13.2922496795654,1.5,0.356749996542931,0.634750008583069,2021_2,movel,15,9,6,100.178016662598,31.0104236602783,9.49249982833863,0,0.265000000596046,0.90650001168251,66.8324565887451,29.4498836994171,11.392374753952,0.75,0.310874998569489,0.77062501013279
72,2021_1,85,movel,6,0,6,167.411972045898,26.2030086517334,40.8409996032715,100,1.11600005626678,5.33400011062622,2021_2,movel,153,87,66,35.9678740501404,23.4112644195557,15.4860000610352,0,0.634499996900559,1.192999958992,101.689923048019,24.8071365356445,28.1634998321533,50,0.875250026583672,3.26350003480911
73,2021_1,86,movel,11,3,8,98.003339767456,118.179202079773,22.4384999275208,0,0.411500006914139,0.985999971628189,2021_2,movel,7,3,4,62.9395227432251,19.1597762107849,10.6884999275208,0,1.21849995851517,1.0785000026226,80.4714312553406,68.6694891452789,16.5634999275208,0,0.814999982714653,1.0322499871254
74,2021_1,87,movel,4,2,2,64.395637512207,82.1956825256348,18.6340000629425,0,1.33250001072884,2.67600005865097,2021_2,movel,21,7,14,33.5251998901367,22.4138879776001,10.8699998855591,0,0.404000014066696,1.54799997806549,48.9604187011719,52.3047852516174,14.7519999742508,0,0.868250012397766,2.11200001835823
75,2021_1,88,movel,1,0,1,15.3684139251709,6.60288000106812,33.1020011901855,0,3.81399989128113,7.26700019836426,2021_2,movel,6,5,1,1.58975994586945,4.68588781356812,13.6399998664856,0,0.808999985456467,2.11800003051758,8.47908693552017,5.64438390731812,23.3710005283356,0,2.3114999383688,4.69250011444092
76,2021_1,90,movel,17,6,11,56.4019203186035,31.6783361434936,27.8502507209778,0,1.10174998641014,3.00949993729591,2021_2,movel,15,8,7,42.132568359375,11.4723844528198,12.414999961853,0,1.04700005054474,0.86599999666214,49.2672443389893,21.5753602981567,20.1326253414154,0,1.07437501847744,1.93774996697903
77,2021_1,91,movel,21,8,13,68.1864538192749,39.6193923950195,8.16999959945679,0,0.292000010609627,0.63400000333786,2021_2,movel,23,10,13,43.9364471435547,30.2855033874512,15.0304999351501,0,1.54900000244379,0.562749996781349,56.0614504814148,34.9524478912353,11.6002497673035,0,0.920500006526709,0.598375000059605
78,2021_1,92,movel,6,2,4,60.402717590332,106.421760559082,11.6435000896454,0,0.355749998241663,1.16324999928474,2021_2,movel,4,4,0,18.7280006408691,9.65327978134155,22.5069999694824,0,1.38199996948242,3.75500011444092,39.5653591156006,58.0375201702118,17.0752500295639,0,0.868874983862042,2.45912505686283
79,2021_1,94,movel,21,0,21,27.5425724983215,23.5389844179153,34.3699989318848,0,0.42399999499321,1.40900003910065,2021_2,movel,27,11,16,36.9081592559814,12.9501121342182,16.2835001945496,0,0.555250003933907,1.73199999332428,32.2253658771515,18.2445482760668,25.3267495632172,0,0.489624999463558,1.57050001621246
80,2021_1,95,movel,8,1,7,52.8483238220215,46.3643035888672,6.75399994850159,0,0.310500003397465,0.28600000590086,2021_2,movel,5,1,4,29.3251090347767,51.5980799794197,30.9190001487732,25,1.86999997496605,6.99400007724762,41.0867164283991,48.9811917841435,18.8365000486374,12.5,1.09024998918176,3.64000004157424
81,2021_1,96,movel,18,0,18,36.0874562263489,36.1025757789612,7.65775012969971,0,0.566750004887581,1.11524997651577,2021_2,movel,20,5,15,63.1984558105469,69.3893775939941,8.41300010681152,0,0.328000009059906,0.724000006914139,49.6429560184479,52.7459766864777,8.03537511825562,0,0.447375006973743,0.919624991714954
