,semestre,district_id,banda_larga,nro_medicoes,medicoes_ipv6,medicoes_ipv4,mediana_download,mediana_upload,mediana_latencia,mediana_perdapacotes,mediana_jitterdown,mediana_jitterup
258,2021_1,35,movel,10,0,10,2.9702401161193848,16.83897590637207,36.87350082397461,0.0,1.6480000019073486,0.944000005722046
260,2021_1,36,movel,13,2,11,87.1267318725586,63.980685234069824,8.44474983215332,0.0,0.3522499985992908,0.4605000093579292
262,2021_1,37,movel,15,2,13,129.358304977417,85.17324829101562,5.038999915122986,0.0,0.1835000030696392,0.1955000013113021
264,2021_1,38,movel,13,6,7,23.09084188938141,14.205743968486786,22.76000022888184,0.0,0.843999981880188,0.6475000083446503
266,2021_1,39,movel,4,0,4,8.643550872802734,6.991487979888916,7.957000017166138,1.5,0.9729999899864196,1.837499976158142
269,2021_1,41,movel,7,2,5,8.0020033121109,7.097599983215332,7.434749841690063,0.0,0.4527499936521053,2.727249950170517
271,2021_1,42,movel,19,2,17,11.3264582157135,8.21574380993843,35.963250160217285,0.5,1.564750000834465,2.2330000400543213
273,2021_1,43,movel,76,7,69,20.340991973876957,21.911231994628903,36.47249984741211,1.0,2.753999948501587,1.6880000233650208
275,2021_1,44,movel,16,0,16,58.96873283386231,35.12604761123657,9.073999881744385,0.5,0.612500011920929,3.351999998092652
277,2021_1,45,movel,1,0,1,3.561084985733032,14.440447807312012,100.60700225830078,7.0,3.378000020980835,2.937999963760376
279,2021_1,46,movel,28,7,21,29.87752246856689,30.93619155883789,22.407999992370605,0.0,0.5109999924898148,2.130000054836273
281,2021_1,47,movel,3,0,3,39.63232135772705,40.2524642944336,4.989500045776367,25.0,0.5774999856948853,0.755999967455864
283,2021_1,48,movel,36,2,34,37.42384958267212,48.83337450027466,10.107000350952148,0.0,0.8579999804496765,2.150500059127808
285,2021_1,49,movel,3,0,3,4.843776226043701,4.843776226043701,6.177999973297119,0.0,0.2660000026226043,0.1940000057220459
287,2021_1,50,movel,5,2,3,291.36004638671875,292.6257629394531,18.23550033569336,0.0,0.636000007390976,0.6740000247955322
292,2021_1,54,movel,1,0,1,,,54.45199966430664,0.0,1.2100000381469729,2.940000057220459
294,2021_1,55,movel,8,0,8,93.10592651367188,63.3060474395752,5.816499948501587,0.0,0.2434999942779541,1.4745000004768372
296,2021_1,56,movel,2,0,2,54.49967002868652,110.20434951782228,4.468999862670898,0.0,0.1099999994039535,0.1809999942779541
299,2021_1,58,movel,14,4,10,0.4908750057220459,11.21836757659912,5.876999855041504,0.0,0.6749999821186066,1.222000002861023
301,2021_1,59,movel,3,0,3,12.003840446472168,21.496320724487305,10.998000144958496,0.0,1.277999997138977,2.0460000038146973
303,2021_1,60,movel,16,0,16,158.01344299316406,26.21459197998047,7.071000099182129,100.0,0.7960000038146973,0.277999997138977
307,2021_1,63,movel,7,4,3,175.83647537231445,79.6087030172348,17.953999996185303,0.75,0.8812500163912773,3.1040000319480896
309,2021_1,64,movel,24,10,14,58.04362201690674,19.40899157524109,17.036500215530396,0.0,1.175249993801117,1.945499986410141
311,2021_1,65,movel,14,0,14,46.68016052246094,45.501953125,14.74250030517578,0.0,0.7110000252723694,2.02649998664856
313,2021_1,66,movel,16,7,9,62.407005310058594,59.909759521484375,7.389999866485596,0.0,0.3455000072717666,0.8749999850988388
315,2021_1,67,movel,30,13,17,29.85640239715576,25.722336053848267,14.377750158309937,0.0,0.4952499940991401,1.6644999980926514
317,2021_1,68,movel,12,4,8,19.08393383026123,21.940327644348145,17.620500087738037,0.0,0.8574999794363976,1.394500032067299
320,2021_1,70,movel,28,17,11,37.98289108276367,33.454800605773926,11.667999744415283,0.0,0.478999987244606,1.282749965786934
322,2021_1,71,movel,34,13,21,31.01826286315918,11.793279886245728,27.44225001335144,0.0,0.8859999924898148,1.7549999952316284
324,2021_1,72,movel,4,0,4,107.59822082519533,102.919677734375,7.535500049591064,0.0,0.3229999989271164,0.2865000069141388
326,2021_1,73,movel,1,0,1,47.11257553100586,48.9444465637207,10.614999771118164,0.0,1.7480000257492063,0.8199999928474426
328,2021_1,74,movel,1,0,1,24.378816604614254,29.291135787963867,13.99899959564209,0.0,0.4079999923706054,9.437999725341797
330,2021_1,75,movel,6,0,6,43.012489318847656,64.11488056182861,8.846500158309937,0.0,1.66799995303154,0.7514999806880951
332,2021_1,76,movel,59,23,36,24.98500633239746,25.02143955230713,8.530250191688538,0.0,0.4387500062584877,2.0300000309944157
334,2021_1,77,movel,7,5,2,94.1547508239746,26.19142436981201,20.24550008773804,0.0,0.7952499762177467,1.5745000541210177
336,2021_1,78,movel,1,0,1,0.5560320019721985,4.610432147979736,61.69200134277344,0.0,16.284000396728516,1.7860000133514404
338,2021_1,79,movel,2,2,0,,,14.55649995803833,0.0,0.6825000047683716,1.912999927997589
341,2021_1,81,movel,5,1,4,32.867573738098145,41.85753631591797,9.608500003814695,0.0,0.2414999902248382,4.086499929428101
343,2021_1,82,movel,26,16,10,29.186421513557438,34.34880065917969,17.92099952697754,0.0,0.4800000041723251,3.9670000076293945
345,2021_1,83,movel,19,2,17,33.65510559082031,19.78636741638184,6.035999774932861,0.0,0.9680000245571136,1.1050000190734863
347,2021_1,84,movel,5,2,3,33.48689651489258,27.889343738555908,13.29224967956543,1.5,0.3567499965429306,0.6347500085830688
349,2021_1,85,movel,6,0,6,167.41197204589844,26.2030086517334,40.84099960327149,100.0,1.116000056266785,5.334000110626221
351,2021_1,86,movel,11,3,8,98.00333976745604,118.17920207977296,22.438499927520752,0.0,0.4115000069141388,0.9859999716281892
353,2021_1,87,movel,4,2,2,64.39563751220703,82.19568252563477,18.634000062942505,0.0,1.332500010728836,2.6760000586509705
355,2021_1,88,movel,1,0,1,15.368413925170898,6.602880001068115,33.10200119018555,0.0,3.813999891281128,7.267000198364258
358,2021_1,90,movel,17,6,11,56.40192031860352,31.67833614349365,27.850250720977783,0.0,1.101749986410141,3.0094999372959137
360,2021_1,91,movel,21,8,13,68.1864538192749,39.61939239501953,8.169999599456787,0.0,0.2920000106096267,0.6340000033378601
362,2021_1,92,movel,6,2,4,60.40271759033203,106.42176055908205,11.643500089645386,0.0,0.355749998241663,1.1632499992847445
365,2021_1,94,movel,21,0,21,27.542572498321533,23.538984417915344,34.369998931884766,0.0,0.4239999949932098,1.409000039100647
367,2021_1,95,movel,8,1,7,52.84832382202149,46.36430358886719,6.753999948501587,0.0,0.3105000033974647,0.2860000059008598
369,2021_1,96,movel,18,0,18,36.08745622634888,36.10257577896118,7.657750129699707,0.0,0.5667500048875809,1.11524997651577
371,2021_2,01,movel,12,8,4,50.04380035400391,25.841087341308597,13.894000053405762,0.0,1.003000020980835,1.602500021457672
