,semestre,district_id,banda_larga,nro_medicoes,medicoes_ipv6,medicoes_ipv4,mediana_download,mediana_upload,mediana_latencia,mediana_perdapacotes,mediana_jitterdown,mediana_jitterup
82,2020_1,83,fixa,5812,587,4805,38.77554321289063,17.834540367126465,19.05074977874756,0.0,1.1399999856948853,2.322000026702881
83,2020_1,84,fixa,10710,5,10346,28.55137634277344,12.117013931274414,24.19100046157837,0.0,1.4279999732971191,2.307499974966049
84,2020_1,85,fixa,4618,23,4284,36.67939376831055,11.22468614578247,22.741000175476078,0.0,1.272000014781952,2.1540000438690186
85,2020_1,86,fixa,4130,9,3879,45.39996898174286,23.12729263305664,16.28749990463257,0.0,1.0269999504089355,1.7519999742507937
86,2020_1,87,fixa,11602,8,11361,23.557048797607425,12.835859775543211,20.34199905395508,0.0,1.4529999494552612,1.919999957084656
87,2020_1,88,fixa,3890,63,3469,61.561153411865234,20.46381187438965,14.69200038909912,0.0,0.8762499988079071,1.7239999771118164
88,2020_1,89,fixa,5255,2,4866,46.63153648376465,20.20080852508545,17.67099952697754,0.0,0.9054999947547911,1.3700000047683716
89,2020_1,90,fixa,7553,30,6512,44.87982368469238,18.48398780822754,18.602250576019287,0.0,0.915000021457672,1.4739999771118164
90,2020_1,91,fixa,4368,2,4040,34.662689208984375,17.506712913513184,17.999000549316406,0.0,1.0959999561309814,1.5605000257492063
91,2020_1,92,fixa,9520,1082,8046,41.20530831813812,13.807636260986328,22.217000007629395,0.0,0.9919999837875366,1.8840000629425049
92,2020_1,93,fixa,13895,1358,12222,48.48406410217285,17.902523040771484,20.16200065612793,0.0,1.0920000076293943,1.75
93,2020_1,94,fixa,15172,3247,11503,45.20662307739258,18.808545112609863,20.26749992370605,0.0,1.0634999871253967,1.9700000286102293
94,2020_1,95,fixa,4868,2,4550,31.42585563659668,16.638141632080078,15.838000297546388,0.0,1.3729999661445618,1.962000012397766
95,2020_1,96,fixa,9227,0,9035,15.372665405273438,18.68733024597168,16.31999969482422,0.5,1.5567499697208405,1.6655000448226929
96,2020_2,01,fixa,7655,6,7271,52.52831268310547,18.629758834838867,19.99799919128418,0.0,1.0125000178813934,1.825999975204468
97,2020_2,02,fixa,8061,8,7804,57.74403953552246,18.854796409606934,15.221500158309937,0.0,0.8264999985694885,1.8539999723434448
98,2020_2,03,fixa,512,0,317,35.969146728515625,34.26040267944336,10.191999912261965,0.0,1.131999969482422,1.1200000047683716
